Source,Target,Weight
33915,606096,0
33915,309907,0
33915,565511,0
33915,40309,0
33915,304344,0
33915,211534,0
33915,195919,0
33915,405164,0
33915,426203,1
33915,203577,0
33915,407880,0
33915,655448,2
33915,86307,0
33915,591465,0
33915,798236,0
33915,734785,0
33915,221316,0
33915,168087,0
33915,838135,0
33915,480744,1
33915,997377,0
33915,791422,0
33915,359918,0
33915,108239,0
33915,688631,0
33915,634027,0
33915,995316,0
33915,159886,0
33915,680243,0
33915,444318,1
33915,385254,0
33915,218080,0
33915,171812,0
33915,152017,1
33915,455533,0
33915,465698,0
33915,445127,0
33915,296490,0
33915,754456,1
33915,130004,0
33915,358487,0
33915,363822,0
33915,547275,0
33915,350356,0
33915,580541,1
33915,297422,0
33915,822420,0
33915,894713,0
33915,598704,0
33915,133333,0
33915,605224,0
33915,360254,0
33915,80140,1
33915,854241,0
33915,833761,0
33915,735033,0
33915,140246,0
33915,151203,0
33915,886018,0
33915,962410,0
33915,544056,0
33915,692363,0
33915,286704,1
33915,352702,0
33915,843626,2
33915,829911,0
33915,258717,1
33915,77142,0
33915,143288,0
33915,406373,0
33915,434668,0
33915,767782,0
33915,163885,0
33915,822198,1
33915,555171,0
33915,407707,0
33915,614626,0
33915,735869,0
33915,677618,1
33915,950962,1
33915,239362,0
33915,339282,0
33915,480769,0
33915,40744,0
33915,681015,0
33915,338183,0
33915,961772,0
33915,25678,0
33915,221062,0
33915,162704,0
33915,220354,0
33915,387268,0
33915,223644,0
33915,102628,0
33915,55194,0
33915,896621,0
33915,886209,0
33915,379565,3
33915,995619,0
33915,869269,0
33915,782323,0
33915,583209,0
33915,17896,0
33915,45105,0
33915,210356,1
33915,187842,0
33915,684772,0
33915,830016,0
33915,822573,0
33915,168204,0
33915,950003,0
33915,839720,0
33915,358288,0
33915,860021,0
33915,446990,0
33915,17126,1
33915,287244,0
33915,168319,0
33915,966801,0
33915,555857,0
33915,102609,0
33915,404908,0
33915,582137,0
33915,339453,0
33915,918922,0
33915,606164,1
33915,862660,0
33915,33619,0
33915,754402,0
33915,692566,0
33915,133733,0
33915,151106,0
33915,884098,0
33915,200019,0
33915,499381,0
33915,86759,0
33915,71888,0
33915,386703,0
33915,100283,1
33915,843412,0
33915,607351,1
33915,698881,1
33915,897957,2
33915,95089,1
33915,506652,0
33915,765242,0
33915,12058,0
33915,294618,2
33915,111635,0
33915,809608,0
33915,350486,0
33915,261569,0
33915,467319,0
33915,230772,0
33915,756099,0
33915,467145,1
33915,319670,0
33915,333519,1
33915,24484,0
33915,923817,0
33915,168308,0
33915,707549,0
33915,949057,0
33915,537251,0
33915,415224,0
33915,131806,0
33915,172506,0
33915,950791,0
33915,783657,0
33915,77174,0
33915,35970,0
33915,50997,1
33915,481191,1
33915,102792,0
33915,625089,1
33915,593324,0
33915,273822,3
33915,476278,0
33915,499985,0
33915,339588,1
33915,913194,0
