Id,Label
1157,Bruce Hornsby
2902,The M Machine
1304,Local Natives
2089,Free
2355,Craig Mack
1724,No Mercy
1737,Crush
634,Sia
1890,Mahna Mahna and The Two Snowths
407,Lea Salonga
386,Ace of Base
381,Lou Bega
1043,The Doors
252,WALK THE MOON
760,Buckcherry
46,Calvin Harris
700,Mr. C The Slide Man
2780,Aaron Zigman
1929,Robbie Williams
877,Gorilla Zoe
808,Kris Kross
2611,Fool's Gold
2575,Jacqueline Taïeb & Amsterdam Beatclub
1534,Chaka Khan
2972,Jesus Jackson
2431,Hot Action Cop
703,Def Leppard
1773,The Four Aces
2042,Lorne Greene
2506,Evaline
1149,Lykke Li
2571,zebrahead
1734,DJ Miko
236,Carrie Underwood
1075,Madness
2315,Tiger Love
694,"""Weird Al"" Yankovic"
1320,Jesse Bonanno
38,Plain White T's
1282,Django Django
568,Benny Benassi
61,Mumford & Sons
382,Empire
1798,Mac Lethal
2274,Shiny Toy Guns
929,Leeland
2471,Beat Connection
1291,Brand New
781,JR JR
2927,Cash Cash
2070,Rev Theory
1343,American Authors
671,Sam & Dave
2514,Joe Walsh
2294,Brownstone
2882,Brian Wilson
1909,Motion City Soundtrack
1874,Jamie Walters
1540,Studio 99
2359,New Edition
1067,Doctor P
1449,Sam Cooke
125,James Blunt
76,Nicki Minaj
2929,DJ Frosty
438,Nicole Scherzinger
695,La Bouche
1273,Spacehog
271,Marvin Gaye
853,"The Hit Co., The Tribute Co."
2308,Jack White
1111,Billy Ray Cyrus
2776,The Prodigy
1342,Disclosure
2614,The Ranger$ Present…
2797,Johnny Farago
2352,Manchester Orchestra
2202,Bison
1016,Juanes
1334,Flyleaf
2714,Steve Earle
298,Kelly Clarkson
1144,The Taylor Swift Tribute Band
1402,Family of the Year
1110,Christina Milian
274,General Johnson & The Chairmen of the Board
422,Eve 6
2599,Jermaine Stewart
1136,Katrina
728,On The Rocks
379,The Darkness
2931,Up All Night Show
525,Lana Del Rey
2963,Super Furry Animals
1152,Bloc Party
1041,Cheap Trick
721,Steve Perry
715,Cutting Crew
648,Simple Plan
204,Soulja Boy
356,A.R. Rahman
708,Pop Star
1461,Howard Shore
658,Asaf Avidan & the Mojos
1398,Haystak
1094,#1 Country Hits
1264,Everclear
537,Family Force 5
1931,Hurts
1880,WILD FLAG
1677,Roxette
1263,Fly Henderson
2852,King Colee
1756,Bushido
2496,Nikki Williams
2880,Sevyn Streeter
2618,B.A.M.A.
1596,Hopsin
1470,New Found Glory
754,Edwin McCain
2620,The Swimming Pools
572,The B-52's
2368,All Star Tribute Band
313,Michael Jackson
999,Juvenile
2459,Ally Kerr
451,Bingo Players
1213,Jake Miller
677,Vitamin String Quartet
1369,Sara Evans
2699,John Mark McMillan
1445,Jason Chen
2245,Mauro Nardi
1482,Maino
2675,Culture Club
2157,The Blow
353,UB40
1384,Del Amitri
1357,Kelsi Luck
2921,Chris Webby
748,Lloyd Banks
2945,Iration
827,Randy Houser
1068,Julian Smith
2448,Joe Williams
19,Cobra Starship
618,Con Bro Chill
350,Tonic
2082,Jim Sturgess
1660,"The Popcorn Buckets, The Wedding Singers"
2102,The Black Ghosts
1150,Giselle
1414,Ra Ra Riot
230,Lee Brice
1433,Enur
2609,Johnny Clegg
2680,Don Omar Arcangel & Daddy Yankee
2270,Alice DJ
473,Eve
218,Foo Fighters
2578,Jimmy Cliff
2127,Nous Non Plus
1642,The Samples
131,Terror Squad
1444,Interpol
1912,Hawaii 5.0
1076,Village People
621,The Roots
623,Talib Kweli
586,Forgive Durden
286,Gorillaz
2013,Rhett Walker Band
2668,Paper Lace
363,Hoobastank
2056,Twerkteam
441,Nina Nesbitt
2923,Selah Sue
1786,Gladys Knight & The Pips
619,Jean Simone
2952,Jackson Browne
2612,Sean Garrett
470,Norah Jones
650,Tacabro
1591,Iron & Wine
981,Lil Twist
640,Jeff Beck
33,Taylor Swift
1916,Adam Hicks
178,Biffy Clyro
1919,Go Radio
2978,Fantasia
1940,Kimbra
448,Santigold
1546,B-Legit
1266,The Presidents Of The United States Of America
209,Oasis
301,Mac Miller
1387,Juelz Santana
822,Trapt
2723,"Meekakitty, Jason Munday & Alex Carpenter"
